R-M1.4,ABSENTE
R-M1.5,ABSENTE
R-N1.1,ABSENTE
R-N1.2,ABSENTE
R-N1.3,ABSENTE
R-N1.4,ABSENTE
R-N1.5,ABSENTE
R-O1.1,ABSENTE
R-P1.1,ABSENTE
R-P1.2,ABSENTE
R-P1.3,PRESENTE
R-P1.4,PRESENTE
R-P1.5,PRESENTE
R-P1.6,ABSENTE
R-Q1.1,ABSENTE
R-Q1.2,ABSENTE
R-Q1.3,ABSENTE
R-Q1.4,ABSENTE
R-Q1.5,ABSENTE
R-Q1.6,ABSENTE
R-R1.1,ABSENTE
R-R1.2,ABSENTE
R-R1.3,ABSENTE
R-R1.4,ABSENTE
R-R1.5,ABSENTE
R-R1.6,ABSENTE
C6-A1.1,ABSENTE
C6-A1.2,ABSENTE
C6-A1.3,ABSENTE
C6-A1.4,ABSENTE
C6-A1.5,ABSENTE
C6-B1.1,ABSENTE
C6-B1.2,ABSENTE
C6-B1.3,ABSENTE
C6-B1.4,ABSENTE
C6-B1.5,ABSENTE
C6-C1.1,ABSENTE
C6-C1.2,ABSENTE
C6-C1.3,ABSENTE
C6-C1.4,ABSENTE
C6-C1.5,ABSENTE
C6-D1.1,ABSENTE
C6-D1.2,ABSENTE
C6-D1.3,ABSENTE
C6-D1.4,ABSENTE
C6-D1.5,ABSENTE
C6-E1.1,ABSENTE
C6-E1.2,ABSENTE
C6-E1.3,ABSENTE
C6-E1.4,ABSENTE
C6-E1.5,ABSENTE
C6-F1.1,ABSENTE
C6-F1.2,ABSENTE
C6-F1.3,ABSENTE
C6-F1.4,ABSENTE
C6-F1.5,ABSENTE
C6-G1.1,ABSENTE
C6-G1.2,ABSENTE
C6-G1.3,ABSENTE
C6-G1.4,ABSENTE
C6-G1.5,ABSENTE
C6-H1.1,ABSENTE
C6-H1.2,ABSENTE
C6-H1.3,ABSENTE
C6-H1.4,ABSENTE
C6-H1.5,ABSENTE
C6-I1.1,ABSENTE
C6-I1.2,ABSENTE
C6-I1.3,ABSENTE
C6-I1.4,ABSENTE
C6-J1.1,ABSENTE
C6-J1.2,ABSENTE
C6-J1.3,ABSENTE
C6-J1.4,ABSENTE
C6-J1.5,ABSENTE
C6-J1.6,ABSENTE
C6-K1.1,ABSENTE
C6-K1.2,ABSENTE
C6-K1.3,ABSENTE
C6-K1.4,ABSENTE
C6-K1.5,ABSENTE
C6-K1.6,ABSENTE
C6-K1.7,ABSENTE
C8-A1.1,PRESENTE
C8-A1.2,PRESENTE
C8-A1.3,PRESENTE
C8-A1.4,PRESENTE
C8-A1.5,PRESENTE
C8-A1.6,ABSENTE
C8-B1.1,PRESENTE
C8-B1.2,PRESENTE
C8-B1.3,PRESENTE
C8-B1.4,PRESENTE
C8-B1.5,PRESENTE
C8-B1.6,ABSENTE
C8-C1.1,PRESENTE
C8-C1.2,PRESENTE
C8-C1.3,PRESENTE
C8-C1.4,ABSENTE
C8-D1.1,PRESENTE
C8-D1.2,PRESENTE
C8-D1.3,PRESENTE
C8-D1.4,PRESENTE
C8-D1.5,ABSENTE
C8-E1.1,PRESENTE
C8-E1.2,PRESENTE
C8-E1.3,PRESENTE
C8-E1.4,PRESENTE
C8-E1.5,ABSENTE
C8-F1.1,PRESENTE
C8-F1.2,PRESENTE
C8-F1.3,PRESENTE
C8-F1.4,PRESENTE
C8-F1.5,PRESENTE
C8-F1.6,ABSENTE
C8-G1.1,PRESENTE
C8-G1.2,PRESENTE
C8-G1.3,PRESENTE
C8-G1.4,PRESENTE
C8-G1.5,PRESENTE
C8-H1.1,PRESENTE
C8-H1.2,PRESENTE
C8-H1.3,PRESENTE
C8-H1.4,PRESENTE
C8-H1.5,PRESENTE
C8-I1.1,PRESENTE
C8-I1.2,PRESENTE
C8-I1.3,PRESENTE
C8-I1.4,PRESENTE
C8-I1.5,PRESENTE
C8-J1.1,ABSENTE
C8-J1.2,ABSENTE
C8-J1.3,ABSENTE
C8-J1.4,ABSENTE
C8-J1.5,ABSENTE
C8-K1.1,ABSENTE
C8-K1.2,ABSENTE
C8-K1.3,ABSENTE
C8-K1.4,ABSENTE
C8-K1.5,ABSENTE
C8-L1.1,ABSENTE
C8-L1.2,ABSENTE
C8-L1.3,ABSENTE
C8-L1.4,ABSENTE
C8-L1.5,ABSENTE
C8-M1.1,ABSENTE
C8-M1.2,ABSENTE
C8-M1.3,ABSENTE
C8-M1.4,ABSENTE
C8-M1.5,ABSENTE
C8-N1.1,ABSENTE
C8-N1.2,ABSENTE
C8-N1.3,ABSENTE
C8-N1.4,ABSENTE
C8-N1.5,ABSENTE
C8-O1.1,ABSENTE
C8-O1.2,ABSENTE
C8-O1.3,ABSENTE
C8-O1.4,ABSENTE
C8-O1.5,ABSENTE
C8-P1.1,ABSENTE
C8-P1.2,ABSENTE
C8-P1.3,ABSENTE
C8-P1.4,ABSENTE
C8-Q1.1,ABSENTE
C8-Q1.2,ABSENTE
C8-Q1.3,ABSENTE
C8-Q1.4,ABSENTE
C8-R1.1,ABSENTE
C8-R1.2,ABSENTE
C8-R1.3,ABSENTE
C8-R1.4,ABSENTE
C7-A1.1,ABSENTE
C7-A1.2,ABSENTE
C7-A1.3,ABSENTE
C7-A1.4,ABSENTE
C7-A1.5,ABSENTE
C7-B1.1,ABSENTE
C7-B1.2,ABSENTE
C7-B1.3,ABSENTE
C7-B1.4,ABSENTE
C7-B1.5,ABSENTE
C7-C1.1,ABSENTE
C7-C1.2,ABSENTE
C7-C1.3,ABSENTE
C7-C1.4,ABSENTE
C7-C1.5,ABSENTE
C7-D1.1,ABSENTE
C7-D1.2,ABSENTE
C7-D1.3,ABSENTE
C7-D1.4,ABSENTE
C7-D1.5,ABSENTE
C7-E1.1,ABSENTE
C7-E1.2,ABSENTE
C7-E1.3,ABSENTE
C7-E1.4,ABSENTE
C7-E1.5,ABSENTE
C7-F1.1,ABSENTE
C7-F1.2,ABSENTE
C7-F1.3,ABSENTE
C7-F1.4,ABSENTE
C7-F1.5,ABSENTE
C5-A1.1,ABSENTE
C5-A1.2,ABSENTE
C5-A1.3,ABSENTE
C5-A1.4,ABSENTE
C5-B1.1,ABSENTE
C5-B1.2,ABSENTE
C5-B1.3,ABSENTE
C5-B1.4,ABSENTE
C5-C1.1,ABSENTE
C5-C1.2,ABSENTE
C5-C1.3,ABSENTE
C5-C1.4,ABSENTE
C5-D1.1,ABSENTE
C5-D1.2,ABSENTE
C5-D1.3,ABSENTE
C5-D1.4,ABSENTE
C5-E1.1,ABSENTE
C5-E1.2,ABSENTE
C5-E1.3,ABSENTE
C5-E1.4,ABSENTE
C5-E1.5,ABSENTE
C5-F1.1,ABSENTE
