WARNING;pas de lieu
WARNING;pas de lieu
WARNING;pas de lieu
WARNING;pas de lieu
WARNING;pas de lieu
ERROR;artefact:V0000103.xml;Error 1064; ;1064 (42000): Erreur de syntaxe près de 'NULL,NULL,NULL,NULL,NULL,'',NULL,NULL,NULL,NULL)' à la ligne 1
ERROR;artefact:V0000103.xml;requete artefact;INSERT INTO artefacts (`id_artefact`,`sourceFile`, `libelle`, `modele`,`anProd`,`dateIn`, `longueur`,`largeur`, `hauteur`, `poids`,`description`, `donateur_key`, `prod_key`, `etat_key`, `localisation_key`) VALUES('FRB.FOBJ3','V0000103.xml','NULL',NULL,NULL,,NULL,NULL,NULL,NULL,NULL,'',NULL,NULL,NULL,NULL)
WARNING;Artefact:FRB.FOBJ3.SCAL.1320;l'année de production est vide
WARNING;artefact:FRB.FOBJ3.SCAL.1320;dimensions sont vides 
WARNING;artefact:FRB.FOBJ3.SCAL.1320;producteur est vide
WARNING;artefact:FRB.FOBJ3.SCAL.2050;dimensions sont vides 
WARNING;Artefact:FRB.FOBJ3.SCAL.2050;l'année de production est vide
WARNING;artefact:FRB.FOBJ3.SCAL.2050;dimensions sont vides 
ERROR;artefact:V0000106.xml;Error 1062; ;1062 (23000): Duplicata du champ 'FRB.FOBJ3.SCAL.2050' pour la clef 'PRIMARY'
ERROR;artefact:V0000106.xml;requete artefact;INSERT INTO artefacts (`id_artefact`,`sourceFile`, `libelle`, `modele`,`anProd`,`dateIn`, `longueur`,`largeur`, `hauteur`, `poids`,`description`, `donateur_key`, `prod_key`, `etat_key`, `localisation_key`) VALUES('FRB.FOBJ3.SCAL.2050','V0000106.xml','Adler 109T: calculatrice électronique, étui','S/N 67.652.936',NULL,'2014-01-01',NULL,NULL,NULL,NULL,'',160,201,8,132)
WARNING;artefact:FRB.FOBJ3.SCAL.1038;dimensions sont vides 
WARNING;Artefact:FRB.FOBJ3.SCAL.1308;l'année de production est vide
WARNING;artefact:FRB.FOBJ3.SCAL.1308;dimensions sont vides 
WARNING;artefact:FRB.FOBJ3.SCAL.1308;producteur est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1312;l'année de production est vide
WARNING;artefact:FRB.FOBJ3.SCAL.1312;dimensions sont vides 
WARNING;artefact:FRB.FOBJ3.SCAL.1312;producteur est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1251;l'année de production est vide
WARNING;artefact:FRB.FOBJ3.SCAL.1251;dimensions sont vides 
WARNING;Artefact:FRB.FOBJ3.SCAL.2041;l'année de production est vide
WARNING;artefact:FRB.FOBJ3.SCAL.2041;dimensions sont vides 
WARNING;Artefact:FRB.FOBJ3.SCAL.1227;l'année de production est vide
WARNING;artefact:FRB.FOBJ3.SCAL.1227;dimensions sont vides 
WARNING;Artefact:FRB.FOBJ3.SCAL.1288;l'année de production est vide
WARNING;artefact:FRB.FOBJ3.SCAL.1288;dimensions sont vides 
WARNING;Artefact:FRB.FOBJ3.SCAL.1288-01;l'année de production est vide
WARNING;artefact:FRB.FOBJ3.SCAL.1288-01;dimensions sont vides 
WARNING;Artefact:FRB.FOBJ3.SCAL.2004;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.2005;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.2006;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1301;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1299;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1292;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1298;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1307;l'année de production est vide
WARNING;artefact:FRB.FOBJ3.SCAL.1307;producteur est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1303;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.2038;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1234;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1281;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.2051;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.2204;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1295;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1229;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1291;l'année de production est vide
